latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-82.96088,227.0,-14400,America/New_York,GMT-4

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),wind_speed_10m (km/h),cloud_cover (%)
2004-10-01T00:00,14.4,66,12.7,0.00,8.5,0
2004-10-01T01:00,13.4,71,11.7,0.00,8.4,0
2004-10-01T02:00,11.3,81,9.7,0.00,7.9,0
2004-10-01T03:00,9.8,90,8.3,0.00,7.8,0
2004-10-01T04:00,9.3,92,7.6,0.00,8.1,0
2004-10-01T05:00,8.9,93,7.2,0.00,8.1,0
2004-10-01T06:00,8.6,94,6.9,0.00,7.6,0
2004-10-01T07:00,8.5,93,6.8,0.00,7.2,0
2004-10-01T08:00,8.7,92,7.0,0.00,7.2,0
2004-10-01T09:00,11.7,86,10.2,0.00,9.6,0
2004-10-01T10:00,15.3,72,14.1,0.00,9.0,0
2004-10-01T11:00,17.8,63,16.5,0.00,10.2,8
2004-10-01T12:00,19.7,58,18.9,0.00,11.5,30
2004-10-01T13:00,21.1,58,21.2,0.00,11.1,47
2004-10-01T14:00,22.2,59,22.8,0.00,11.5,1
2004-10-01T15:00,22.8,55,22.4,0.00,15.1,36
2004-10-01T16:00,23.0,53,21.4,0.00,17.2,44
2004-10-01T17:00,22.9,54,21.6,0.00,15.9,10
2004-10-01T18:00,22.4,58,21.8,0.00,12.2,94
2004-10-01T19:00,20.8,63,20.5,0.00,10.0,100
2004-10-01T20:00,19.3,69,19.0,0.00,10.2,96
2004-10-01T21:00,18.6,72,18.1,0.00,10.6,42
2004-10-01T22:00,17.6,75,17.0,0.00,11.4,96
2004-10-01T23:00,17.2,76,16.4,0.00,12.0,97
2004-10-02T00:00,17.2,74,16.2,0.00,12.3,98
2004-10-02T01:00,17.2,73,16.2,0.00,11.9,96
2004-10-02T02:00,17.0,73,15.9,0.00,11.8,69
2004-10-02T03:00,16.5,75,15.5,0.00,11.5,82
2004-10-02T04:00,16.0,78,15.2,0.50,10.1,69
2004-10-02T05:00,15.4,82,14.5,0.00,11.6,56
2004-10-02T06:00,15.4,83,14.6,0.10,10.8,88
2004-10-02T07:00,15.1,84,14.2,0.00,12.1,65
2004-10-02T08:00,15.5,84,14.6,0.00,12.6,100
2004-10-02T09:00,16.1,83,15.3,0.00,12.8,48
2004-10-02T10:00,17.5,79,16.8,0.00,13.9,33
2004-10-02T11:00,19.2,70,18.2,0.00,15.3,22
2004-10-02T12:00,20.1,62,18.6,0.00,16.6,51
2004-10-02T13:00,19.6,65,18.0,0.00,17.9,93
2004-10-02T14:00,17.3,72,15.3,0.00,18.7,100
2004-10-02T15:00,15.6,77,13.5,0.00,18.0,97
2004-10-02T16:00,14.8,72,12.5,0.00,16.0,82
2004-10-02T17:00,15.0,65,12.6,0.00,14.0,45
2004-10-02T18:00,15.1,58,12.7,0.00,10.7,13
2004-10-02T19:00,14.4,57,12.2,0.00,8.2,2
2004-10-02T20:00,13.0,58,10.6,0.00,7.8,1
2004-10-02T21:00,11.6,63,9.3,0.00,7.0,0
2004-10-02T22:00,10.3,67,7.9,0.00,7.3,0
2004-10-02T23:00,9.2,70,6.7,0.00,7.8,0
2004-10-03T00:00,8.2,73,5.7,0.00,6.7,0
2004-10-03T01:00,7.4,75,4.9,0.00,6.6,0
2004-10-03T02:00,6.9,76,4.3,0.00,7.3,0
2004-10-03T03:00,6.2,78,3.5,0.00,7.2,0
2004-10-03T04:00,5.7,80,3.0,0.00,6.8,0
2004-10-03T05:00,5.3,81,2.6,0.00,6.5,0
2004-10-03T06:00,5.0,82,2.4,0.00,6.3,0
2004-10-03T07:00,4.7,84,2.0,0.00,6.7,0
2004-10-03T08:00,5.2,82,2.7,0.00,5.5,0
2004-10-03T09:00,7.0,82,5.2,0.00,3.3,0
2004-10-03T10:00,10.2,67,8.7,0.00,1.3,0
2004-10-03T11:00,12.6,58,11.1,0.00,1.6,0
2004-10-03T12:00,14.1,50,12.7,0.00,3.8,0
2004-10-03T13:00,15.2,46,14.1,0.00,5.3,0
2004-10-03T14:00,16.0,44,14.7,0.00,7.2,0
2004-10-03T15:00,16.8,42,14.9,0.00,8.9,0
2004-10-03T16:00,17.1,41,14.5,0.00,9.9,0
2004-10-03T17:00,17.1,40,14.0,0.00,10.9,0
2004-10-03T18:00,16.7,43,14.0,0.00,8.6,0
2004-10-03T19:00,15.4,48,13.0,0.00,7.4,0
2004-10-03T20:00,13.7,53,11.1,0.00,8.7,0
2004-10-03T21:00,12.4,58,9.7,0.00,9.4,0
2004-10-03T22:00,11.4,61,8.5,0.00,10.4,0
2004-10-03T23:00,10.8,63,7.8,0.00,11.2,0
2004-10-04T00:00,10.5,63,7.2,0.00,12.8,0
2004-10-04T01:00,10.2,63,6.9,0.00,12.6,0
2004-10-04T02:00,10.0,63,6.7,0.00,12.1,0
2004-10-04T03:00,9.8,61,6.3,0.00,12.3,0
2004-10-04T04:00,9.7,59,6.1,0.00,12.8,0
